term,count
jasper,242
rosa,233
grewgious,216
crisparkle,209
little,205
now,194
miss,192
down,173
being,170
say,164
know,164
time,163
neville,161
again,160
should,157
much,156
come,153
young,151
may,146
durdles,146
sir,145
dear,144
might,142
man,141
himself,140
hand,131
here,130
two,130
good,128
old,126
way,126
other,126
own,125
such,123
edwin,123
don,120
face,116
having,115
mind,113
back,112
