character,positive_rate,negative_rate,suspicious_rate,dark_rate,emotional_rate,violent_rate,net_sentiment
Edwin Drood,0.0035587188612099642,0.0010949904188338351,0.0008212428141253764,0.0010949904188338351,0.002737476047084588,0.0002737476047084588,0.0024637284423761293
John Jasper,0.0031923383878691143,0.0020750199521149242,0.0017557861133280128,0.0031923383878691143,0.0012769353551476455,0.0011173184357541898,0.0011173184357541898
Rosa Bud,0.00752405949256343,0.0015748031496062992,0.0010498687664041995,0.0010498687664041995,0.0013998250218722659,0.0005249343832020997,0.0059492563429571306
Neville Landless,0.004826009652019304,0.002286004572009144,0.001524003048006096,0.002032004064008128,0.00381000762001524,0.000762001524003048,0.00254000508001016
Helena Landless,0.006301502666020358,0.001454192922927775,0.0019389238972370335,0.0019389238972370335,0.0009694619486185168,0.0004847309743092584,0.004847309743092583
Mr. Crisparkle,0.0045385779122541605,0.0015128593040847202,0.0013447638258530846,0.002017145738779627,0.0008404773911581779,0.0005042864346949068,0.0030257186081694403
Durdles,0.0025188916876574307,0.002239014833473272,0.0016792611251049538,0.003918275958578225,0.000279876854184159,0.001119507416736636,0.000279876854184159
Princess Puffer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dick Datchery,0.005311077389984826,0.002276176024279211,0.0015174506828528073,0.002276176024279211,0.0,0.0007587253414264037,0.0030349013657056147
