work,named_character_nodes,cooccurrence_edges,network_density,largest_component_share
The Mystery of Edwin Drood,8,28,1.0,1.0
Oliver Twist,9,12,0.3333,1.0
Bleak House,9,25,0.6944,1.0
David Copperfield,9,21,0.5833,1.0
Great Expectations,9,16,0.4444,1.0
Our Mutual Friend,9,15,0.4167,1.0
A Tale of Two Cities,9,22,0.6111,1.0
