source,entity_label,entity_text,count
kaggle,GPE,new york city,116
kaggle,GPE,nashville,113
kaggle,LOC,nashville,113
kaggle,DATE,2005,112
kaggle,LOC,reno,112
kaggle,GPE,reno,112
kaggle,LOC,boise,109
kaggle,GPE,boise,109
kaggle,LOC,philadelphia,108
kaggle,GPE,pittsburgh,108
kaggle,LOC,fresno,108
kaggle,LOC,pittsburgh,108
kaggle,GPE,philadelphia,108
kaggle,GPE,fresno,108
kaggle,DATE,2006,107
kaggle,LOC,scottsdale,107
kaggle,MOTION,vanish,107
kaggle,GPE,scottsdale,107
kaggle,LOC,jackson,106
kaggle,GPE,jackson,106
kaggle,GPE,lancaster,105
kaggle,LOC,lancaster,105
kaggle,LOC,cincinnati,104
kaggle,GPE,cincinnati,104
kaggle,LOC,everett,102
kaggle,GPE,everett,102
kaggle,GPE,wilmington,101
kaggle,LOC,wilmington,101
kaggle,GPE,dc,99
kaggle,GPE,tulsa,98
kaggle,LOC,vancouver (canada),98
kaggle,GPE,sk,98
kaggle,LOC,tulsa,98
kaggle,GPE,vancouver (canada),98
kaggle,DATE,2003,97
kaggle,DATE,2001,97
kaggle,LOC,bellevue,97
kaggle,GPE,bellevue,97
kaggle,GPE,lexington,96
kaggle,LOC,lexington,96
kaggle,GPE,riverside,95
kaggle,LOC,cleveland,95
kaggle,LOC,atlanta,95
kaggle,GPE,glendale,95
kaggle,GPE,atlanta,95
kaggle,GPE,cleveland,95
kaggle,GPE,long beach,95
kaggle,LOC,virginia beach,95
kaggle,LOC,long beach,95
kaggle,GPE,virginia beach,95
kaggle,LOC,riverside,95
kaggle,LOC,glendale,95
kaggle,GPE,canton,94
kaggle,LOC,canton,94
kaggle,LOC,eugene,94
kaggle,GPE,eugene,94
kaggle,LOC,lincoln,94
kaggle,GPE,lincoln,94
kaggle,MOTION,accelerated,93
kaggle,LOC,gilbert,90
kaggle,DATE,2002,90
kaggle,GPE,gilbert,90
kaggle,GPE,pq,90
kaggle,LOC,bellingham,89
kaggle,GPE,monroe,89
kaggle,GPE,bellingham,89
kaggle,LOC,baltimore,89
kaggle,GPE,baltimore,89
kaggle,LOC,monroe,89
kaggle,LOC,knoxville,89
kaggle,GPE,knoxville,89
kaggle,LOC,el paso,88
kaggle,LOC,lakewood,88
kaggle,GPE,lakewood,88
kaggle,GPE,el paso,88
kaggle,LOC,yakima,87
kaggle,GPE,yakima,87
kaggle,LOC,fayetteville,86
kaggle,GPE,fayetteville,86
kaggle,GPE,memphis,86
kaggle,LOC,memphis,86
kaggle,LOC,buffalo,85
kaggle,GPE,buffalo,85
kaggle,LOC,anchorage,83
kaggle,GPE,anchorage,83
kaggle,LOC,franklin,82
kaggle,LOC,ottawa (canada),82
kaggle,GPE,ottawa (canada),82
kaggle,GPE,franklin,82
kaggle,GPE,greenville,81
kaggle,GPE,minneapolis,81
kaggle,LOC,minneapolis,81
kaggle,LOC,greenville,81
kaggle,LOC,burbank,80
kaggle,GPE,burbank,80
kaggle,LOC,grand rapids,79
kaggle,LOC,gainesville,79
kaggle,LOC,albany,79
kaggle,GPE,grand rapids,79
kaggle,GPE,albany,79
kaggle,LOC,sarasota,79
kaggle,GPE,gainesville,79
kaggle,GPE,sarasota,79
kaggle,GPE,des moines,78
kaggle,LOC,bakersfield,78
kaggle,GPE,chandler,78
kaggle,GPE,bakersfield,78
kaggle,LOC,des moines,78
kaggle,LOC,chandler,78
kaggle,LOC,milwaukee,77
kaggle,LOC,washington&#44 d.c.,77
kaggle,LOC,modesto,77
kaggle,GPE,modesto,77
kaggle,GPE,washington&#44 d.c.,77
kaggle,GPE,santa rosa,77
kaggle,GPE,milwaukee,77
kaggle,LOC,santa rosa,77
kaggle,LOC,lafayette,76
kaggle,GPE,lafayette,76
kaggle,GPE,wichita,76
kaggle,LOC,wichita,76
kaggle,GPE,victoria (canada),75
kaggle,LOC,bremerton,75
kaggle,LOC,victoria (canada),75
kaggle,GPE,bremerton,75
kaggle,LOC,manchester,74
kaggle,GPE,calgary (canada),74
kaggle,LOC,newark,74
kaggle,LOC,calgary (canada),74
kaggle,GPE,newark,74
kaggle,GPE,manchester,74
kaggle,MOTION,rise,73
kaggle,GPE,raleigh,72
kaggle,LOC,aurora,72
kaggle,GPE,boston,72
kaggle,GPE,aurora,72
kaggle,LOC,raleigh,72
kaggle,LOC,boston,72
kaggle,DATE,1997,71
kaggle,LOC,montreal (canada),71
kaggle,LOC,henderson,71
kaggle,GPE,henderson,71
kaggle,LOC,winnipeg (canada),71
kaggle,LOC,honolulu,71
kaggle,GPE,honolulu,71
kaggle,GPE,montreal (canada),71
kaggle,LOC,oklahoma city,71
kaggle,GPE,winnipeg (canada),71
kaggle,GPE,oklahoma city,71
kaggle,LOC,lebanon,70
pursue,ORG,cia,70
kaggle,LOC,bristol,70
kaggle,GPE,bristol,70
kaggle,GPE,lebanon,70
kaggle,GPE,charleston,69
kaggle,LOC,charleston,69
kaggle,GPE,bloomington,68
kaggle,LOC,bloomington,68
kaggle,GPE,boulder,67
kaggle,LOC,boulder,67
kaggle,GPE,redding,67
kaggle,LOC,redding,67
kaggle,GPE,tempe,66
kaggle,LOC,santa fe,66
kaggle,LOC,huntington beach,66
kaggle,LOC,tempe,66
kaggle,GPE,santa fe,66
kaggle,GPE,milford,66
kaggle,LOC,milford,66
kaggle,GPE,huntington beach,66
kaggle,LOC,olympia,66
kaggle,GPE,olympia,66
kaggle,MOTION,descend,65
kaggle,LOC,florence,65
kaggle,GPE,fairfield,65
kaggle,LOC,el cajon,65
kaggle,LOC,troy,65
kaggle,GPE,florence,65
kaggle,LOC,fairfield,65
kaggle,MILITARY,radar,65
kaggle,GPE,el cajon,65
kaggle,LOC,roswell,65
kaggle,GPE,troy,65
kaggle,GPE,renton,64
kaggle,LOC,oakland,64
kaggle,GPE,alexandria,64
kaggle,LOC,renton,64
kaggle,LOC,alexandria,64
kaggle,GPE,santa barbara,64
kaggle,LOC,santa barbara,64
kaggle,GPE,oakland,64
kaggle,GPE,burlington,63
kaggle,LOC,toledo,63
kaggle,MILITARY,navy,63
kaggle,GPE,ventura,63
kaggle,GPE,toledo,63
kaggle,LOC,burlington,63
kaggle,LOC,ventura,63
kaggle,LOC,peoria,62
kaggle,LOC,sedona,62
kaggle,LOC,medford,62
kaggle,LOC,irvine,62
kaggle,GPE,irvine,62
kaggle,LOC,new york city (manhattan),62
kaggle,GPE,medford,62
kaggle,GPE,new york city (manhattan),62
kaggle,GPE,peoria,62
kaggle,GPE,sedona,62
kaggle,GPE,hayward,61
kaggle,LOC,clinton,61
kaggle,LOC,hayward,61
kaggle,GPE,clinton,61
kaggle,LOC,birmingham (uk/england),60
kaggle,GPE,north myrtle beach,60
kaggle,GPE,birmingham (uk/england),60
kaggle,LOC,north myrtle beach,60
